epoch,time,generator_loss,discriminator_loss
1,2022_08_12_12_02_36,1.3326,-0.0981
2,2022_08_12_12_02_37,2.3337,-0.3729
3,2022_08_12_12_02_38,4.3849,-0.9138
4,2022_08_12_12_02_40,5.8512,-2.0117
5,2022_08_12_12_02_41,0.4292,-3.0838
6,2022_08_12_12_02_42,22.0508,-4.9489
7,2022_08_12_12_02_43,8.4803,-5.5824
8,2022_08_12_12_02_45,2.3772,-7.1221
9,2022_08_12_12_02_46,-12.1916,-6.3718
10,2022_08_12_12_02_47,7.7940,-6.0177
11,2022_08_12_12_02_49,7.4121,-5.5264
12,2022_08_12_12_02_50,4.7443,-4.5787
13,2022_08_12_12_02_51,5.7017,-4.3871
14,2022_08_12_12_02_53,4.2593,-3.4249
15,2022_08_12_12_02_54,4.1615,-4.2770
16,2022_08_12_12_02_55,2.0355,-3.6743
17,2022_08_12_12_02_57,3.1064,-3.1905
18,2022_08_12_12_02_58,-6.2195,-3.4758
19,2022_08_12_12_02_59,-13.5646,-2.1829
20,2022_08_12_12_03_00,-28.0845,-2.6443
21,2022_08_12_12_03_02,4.7347,-2.6132
22,2022_08_12_12_03_03,7.5150,-1.9158
23,2022_08_12_12_03_04,2.9325,-2.2056
24,2022_08_12_12_03_06,1.7745,-1.6265
25,2022_08_12_12_03_07,1.9354,-1.8257
26,2022_08_12_12_03_08,5.7371,-1.7978
27,2022_08_12_12_03_09,2.8410,-1.5437
28,2022_08_12_12_03_11,6.2714,0.7726
29,2022_08_12_12_03_12,3.3068,-0.1706
30,2022_08_12_12_03_13,3.1454,-1.2209
31,2022_08_12_12_03_15,-0.3796,0.2932
32,2022_08_12_12_03_16,1.4865,0.2290
33,2022_08_12_12_03_17,0.5552,0.0616
34,2022_08_12_12_03_18,0.2528,0.3449
35,2022_08_12_12_03_20,3.1612,0.4340
36,2022_08_12_12_03_21,7.0505,0.0678
37,2022_08_12_12_03_22,0.2756,-0.0967
38,2022_08_12_12_03_24,-3.0422,-0.5559
39,2022_08_12_12_03_25,0.1825,0.3446
40,2022_08_12_12_03_26,0.2204,-0.3668
41,2022_08_12_12_03_27,-0.0549,0.1364
42,2022_08_12_12_03_28,-0.2625,0.0154
43,2022_08_12_12_03_30,3.3703,-0.3589
44,2022_08_12_12_03_31,2.1242,0.5805
45,2022_08_12_12_03_32,0.4218,0.0299
46,2022_08_12_12_03_33,2.4167,-0.5975
47,2022_08_12_12_03_35,-0.6064,0.2678
48,2022_08_12_12_03_36,3.7564,0.1815
