epoch,time,generator_loss,discriminator_loss
124,2022_08_26_10_18_21,-12.8130,0.8552
125,2022_08_26_10_18_23,2.6934,-1.0266
126,2022_08_26_10_18_25,25.5268,-1.8106
127,2022_08_26_10_18_27,13.1889,-1.2409
128,2022_08_26_10_18_29,13.3680,0.7995
129,2022_08_26_10_18_31,22.9308,-0.8087
130,2022_08_26_10_18_33,7.1945,-0.7482
131,2022_08_26_10_18_35,-0.2403,-0.5816
132,2022_08_26_10_18_37,17.3593,-1.4764
133,2022_08_26_10_18_39,-21.8324,-0.4528
134,2022_08_26_10_18_40,5.6418,-1.1671
135,2022_08_26_10_18_42,8.2633,0.6172
136,2022_08_26_10_18_44,10.0367,-0.9138
137,2022_08_26_10_18_46,21.7767,-0.5273
138,2022_08_26_10_18_48,7.4516,-1.1934
139,2022_08_26_10_18_51,18.4751,0.0029
140,2022_08_26_10_18_53,13.5290,-0.2095
141,2022_08_26_10_18_55,7.4207,-0.0302
142,2022_08_26_10_18_56,10.0675,1.3668
143,2022_08_26_10_18_58,11.9344,-0.4344
144,2022_08_26_10_19_00,-2.8009,-1.5028
145,2022_08_26_10_19_03,8.5066,-1.4102
146,2022_08_26_10_19_05,9.0350,0.5467
147,2022_08_26_10_19_07,36.4378,0.1302
148,2022_08_26_10_19_08,10.6287,0.9274
149,2022_08_26_10_19_10,10.9906,-0.4186
150,2022_08_26_10_19_12,9.8137,0.1783
151,2022_08_26_10_19_14,7.0474,-1.3091
152,2022_08_26_10_19_16,16.1408,0.6969
153,2022_08_26_10_19_18,11.2191,0.4069
154,2022_08_26_10_19_20,-79.9872,-0.4259
155,2022_08_26_10_19_22,16.8945,0.7400
156,2022_08_26_10_19_24,23.2014,-0.1202
157,2022_08_26_10_19_26,19.5839,-0.5923
158,2022_08_26_10_19_28,11.2073,0.7829
159,2022_08_26_10_19_30,8.2473,0.8262
160,2022_08_26_10_19_31,1.9174,0.4868
161,2022_08_26_10_19_33,8.0535,-1.0525
162,2022_08_26_10_19_35,2.8650,-0.1720
163,2022_08_26_10_19_37,11.4674,-1.7250
164,2022_08_26_10_19_39,11.3449,-0.0434
165,2022_08_26_10_19_41,12.7556,-1.6868
166,2022_08_26_10_19_43,12.6333,1.2395
167,2022_08_26_10_19_45,13.3105,-2.5173
168,2022_08_26_10_19_47,-24.7601,-0.7690
169,2022_08_26_10_19_48,10.4401,-0.9484
170,2022_08_26_10_19_50,9.9013,1.0617
171,2022_08_26_10_19_52,2.3780,-0.2505
172,2022_08_26_10_19_54,10.1223,-1.3181
173,2022_08_26_10_19_56,10.2704,-0.6796
174,2022_08_26_10_19_58,10.1623,-0.3598
175,2022_08_26_10_20_00,10.5798,0.7959
176,2022_08_26_10_20_02,9.4095,-0.1151
177,2022_08_26_10_20_04,8.5488,-0.3669
178,2022_08_26_10_20_06,8.3561,-0.9282
179,2022_08_26_10_20_07,10.9182,-0.0940
180,2022_08_26_10_20_09,2.0043,-0.2114
181,2022_08_26_10_20_11,18.8152,-1.8511
182,2022_08_26_10_20_13,7.9585,-0.0083
183,2022_08_26_10_20_15,7.2896,-2.3571
184,2022_08_26_10_20_17,4.0182,0.0884
185,2022_08_26_10_20_19,31.8228,0.6320
186,2022_08_26_10_20_21,-817.5763,1.4605
187,2022_08_26_10_20_23,-32.0456,-1.8706
