epoch,time,generator_loss,discriminator_loss
124,2022_08_23_13_31_41,4.5728,-0.0274
125,2022_08_23_13_31_43,4.9304,1.4776
126,2022_08_23_13_31_45,4.0206,1.4512
127,2022_08_23_13_31_46,5.7594,0.2455
128,2022_08_23_13_31_48,4.3703,0.1814
129,2022_08_23_13_31_50,3.9427,0.0540
130,2022_08_23_13_31_52,5.2689,-0.9651
131,2022_08_23_13_31_53,5.5053,-1.3369
132,2022_08_23_13_31_55,5.9929,0.1341
133,2022_08_23_13_31_57,6.8865,-1.2192
134,2022_08_23_13_31_58,6.7866,-0.1377
135,2022_08_23_13_32_00,5.3316,0.5386
136,2022_08_23_13_32_02,6.3659,0.5214
137,2022_08_23_13_32_04,7.8249,-1.6612
138,2022_08_23_13_32_06,6.9770,0.0611
139,2022_08_23_13_32_08,6.7825,1.2397
140,2022_08_23_13_32_09,6.1014,-0.7241
141,2022_08_23_13_32_11,5.9988,-0.8554
142,2022_08_23_13_32_13,4.5012,-0.3991
143,2022_08_23_13_32_15,5.6385,-0.0777
144,2022_08_23_13_32_16,5.2464,0.0406
145,2022_08_23_13_32_18,4.7541,0.2895
146,2022_08_23_13_32_20,6.1646,-0.6363
147,2022_08_23_13_32_22,6.3353,-0.7971
148,2022_08_23_13_32_23,6.4639,-0.4855
149,2022_08_23_13_32_26,6.3069,-0.3079
150,2022_08_23_13_32_27,5.5402,-0.2452
151,2022_08_23_13_32_29,5.1210,-0.2530
152,2022_08_23_13_32_31,5.4093,0.2685
153,2022_08_23_13_32_33,5.9541,-0.1895
154,2022_08_23_13_32_34,5.7820,-0.2242
155,2022_08_23_13_32_36,4.6801,-0.6974
156,2022_08_23_13_32_38,4.5277,-0.2543
157,2022_08_23_13_32_40,5.7984,0.7733
158,2022_08_23_13_32_41,4.7958,0.5490
159,2022_08_23_13_32_43,5.1920,-0.3193
160,2022_08_23_13_32_45,3.0989,0.7403
161,2022_08_23_13_32_46,4.4991,-0.2181
162,2022_08_23_13_32_48,3.8034,-0.5815
163,2022_08_23_13_32_50,2.2405,-0.3316
164,2022_08_23_13_32_52,4.3503,-0.2817
165,2022_08_23_13_32_54,2.9209,1.5663
166,2022_08_23_13_32_56,2.4363,-0.2550
167,2022_08_23_13_32_58,2.5780,-1.0222
168,2022_08_23_13_32_59,1.5297,1.1226
169,2022_08_23_13_33_01,1.4895,0.2194
170,2022_08_23_13_33_03,0.6822,0.1946
171,2022_08_23_13_33_05,0.4446,-0.5008
172,2022_08_23_13_33_06,1.4733,0.2383
173,2022_08_23_13_33_08,2.2852,-0.8720
174,2022_08_23_13_33_10,2.5808,0.8298
175,2022_08_23_13_33_12,1.2191,-0.0257
176,2022_08_23_13_33_13,1.3154,0.5223
177,2022_08_23_13_33_15,0.7322,-1.2406
178,2022_08_23_13_33_17,0.3101,2.0275
179,2022_08_23_13_33_18,0.2572,0.9421
180,2022_08_23_13_33_20,0.6180,-0.9425
181,2022_08_23_13_33_22,2.6339,1.1343
182,2022_08_23_13_33_24,0.6885,-0.4715
183,2022_08_23_13_33_25,1.8275,-1.1428
184,2022_08_23_13_33_28,0.9684,0.0090
185,2022_08_23_13_33_30,-0.4956,-0.8596
186,2022_08_23_13_33_31,0.0626,0.0687
187,2022_08_23_13_33_33,1.1549,-0.6113
188,2022_08_23_13_33_35,-0.0154,-1.8840
189,2022_08_23_13_33_37,0.3889,1.6511
190,2022_08_23_13_33_39,0.3211,-0.4790
191,2022_08_23_13_33_41,0.5868,1.0531
192,2022_08_23_13_33_42,1.3015,1.3763
193,2022_08_23_13_33_44,0.9116,-0.3610
194,2022_08_23_13_33_46,1.5988,2.6359
195,2022_08_23_13_33_48,1.9977,-0.8675
196,2022_08_23_13_33_49,1.8452,-0.2926
197,2022_08_23_13_33_51,1.2040,-0.7850
198,2022_08_23_13_33_53,2.4372,0.7127
199,2022_08_23_13_33_55,2.9006,-0.1908
200,2022_08_23_13_33_56,0.7219,-0.8294
201,2022_08_23_13_33_58,0.6537,-1.4001
202,2022_08_23_13_34_00,0.6114,-0.0745
203,2022_08_23_13_34_01,-0.4330,-0.7092
204,2022_08_23_13_34_03,0.0992,-1.2964
205,2022_08_23_13_34_06,0.2059,-1.4201
206,2022_08_23_13_34_07,1.5946,-1.1016
207,2022_08_23_13_34_09,1.6599,0.1115
208,2022_08_23_13_34_11,3.8461,1.0204
209,2022_08_23_13_34_13,4.2841,-0.2371
210,2022_08_23_13_34_15,2.5022,-0.9826
211,2022_08_23_13_34_16,4.0137,-0.2151
212,2022_08_23_13_34_18,3.0166,-0.0295
213,2022_08_23_13_34_20,2.8185,-0.3446
214,2022_08_23_13_34_22,1.8077,1.5086
215,2022_08_23_13_34_24,2.5117,1.2823
216,2022_08_23_13_34_25,1.9126,-1.6772
217,2022_08_23_13_34_27,1.2762,-0.1313
218,2022_08_23_13_34_29,1.5766,-1.0026
219,2022_08_23_13_34_31,3.7131,-0.7203
220,2022_08_23_13_34_33,3.6461,1.6372
221,2022_08_23_13_34_34,1.8205,-0.2342
222,2022_08_23_13_34_36,1.4853,1.6587
223,2022_08_23_13_34_38,0.1354,1.3714
224,2022_08_23_13_34_40,1.3976,0.1774
225,2022_08_23_13_34_41,1.8354,0.2200
226,2022_08_23_13_34_43,1.4915,-0.8733
227,2022_08_23_13_34_45,-0.7018,-0.3611
228,2022_08_23_13_34_47,1.2157,0.0229
229,2022_08_23_13_34_48,0.5349,1.3543
230,2022_08_23_13_34_50,0.2945,-0.7595
231,2022_08_23_13_34_52,-0.6646,2.4198
232,2022_08_23_13_34_54,-0.3279,-1.0758
233,2022_08_23_13_34_55,0.9873,0.8185
234,2022_08_23_13_34_57,0.0400,-0.4793
235,2022_08_23_13_34_59,2.0517,0.4741
236,2022_08_23_13_35_00,1.3792,0.1077
237,2022_08_23_13_35_02,3.0476,1.3242
238,2022_08_23_13_35_04,3.0641,0.1689
239,2022_08_23_13_35_06,4.2825,-0.6725
240,2022_08_23_13_35_07,1.8738,0.5433
241,2022_08_23_13_35_09,3.4008,-0.4513
242,2022_08_23_13_35_11,1.9896,0.9710
243,2022_08_23_13_35_13,3.9467,1.7607
244,2022_08_23_13_35_15,3.8702,-0.5007
245,2022_08_23_13_35_16,3.8867,0.2756
246,2022_08_23_13_35_18,3.2242,-0.2776
247,2022_08_23_13_35_20,2.2659,-0.7991
248,2022_08_23_13_35_21,3.0504,0.3747
249,2022_08_23_13_35_25,2.2663,1.2179
250,2022_08_23_13_35_26,2.8547,2.2228
251,2022_08_23_13_35_28,3.2884,-1.1329
252,2022_08_23_13_35_31,5.2147,0.8600
253,2022_08_23_13_35_32,4.6531,-0.7449
254,2022_08_23_13_35_34,5.1874,0.0652
255,2022_08_23_13_35_36,4.2337,0.9382
256,2022_08_23_13_35_38,3.7403,-1.0685
257,2022_08_23_13_35_40,3.1593,-1.1053
258,2022_08_23_13_35_41,4.3816,-3.4716
259,2022_08_23_13_35_43,4.5993,0.5405
260,2022_08_23_13_35_45,2.9782,-0.0218
261,2022_08_23_13_35_47,2.9720,0.1556
262,2022_08_23_13_35_48,2.8510,-1.4010
263,2022_08_23_13_35_50,3.0757,-0.0620
264,2022_08_23_13_35_52,2.7562,0.4157
265,2022_08_23_13_35_54,1.9321,0.1624
266,2022_08_23_13_35_55,0.6915,-1.6898
267,2022_08_23_13_35_57,2.8098,-1.0937
268,2022_08_23_13_35_59,0.4660,1.5225
269,2022_08_23_13_36_00,3.9733,-0.1076
270,2022_08_23_13_36_02,1.9513,-1.3210
271,2022_08_23_13_36_04,1.9933,1.2203
272,2022_08_23_13_36_06,2.4646,1.6959
273,2022_08_23_13_36_08,0.7988,-0.0989
274,2022_08_23_13_36_10,2.0843,-0.6057
275,2022_08_23_13_36_11,3.3890,1.0628
276,2022_08_23_13_36_13,1.5592,-0.5777
277,2022_08_23_13_36_15,1.1838,1.7008
278,2022_08_23_13_36_17,1.1657,-1.9639
279,2022_08_23_13_36_18,1.8760,0.9335
280,2022_08_23_13_36_20,2.6341,-1.0553
281,2022_08_23_13_36_22,2.3364,-1.0014
282,2022_08_23_13_36_24,3.3078,-0.4321
283,2022_08_23_13_36_25,0.9443,-0.5348
284,2022_08_23_13_36_27,3.9841,-0.7753
285,2022_08_23_13_36_29,1.9132,0.3878
286,2022_08_23_13_36_30,2.5433,-2.0688
287,2022_08_23_13_36_32,3.6819,0.6800
288,2022_08_23_13_36_34,4.1281,-0.6993
289,2022_08_23_13_36_36,0.6752,0.5636
290,2022_08_23_13_36_38,3.4389,1.3435
291,2022_08_23_13_36_40,1.8926,-0.5889
292,2022_08_23_13_36_41,1.9059,-1.9976
293,2022_08_23_13_36_43,2.3142,0.9032
294,2022_08_23_13_36_45,3.3961,-0.0432
295,2022_08_23_13_36_47,2.6599,-0.3075
296,2022_08_23_13_36_49,4.9015,0.3672
297,2022_08_23_13_36_51,4.0340,0.8948
298,2022_08_23_13_36_53,3.4362,1.7728
299,2022_08_23_13_36_55,3.7301,-2.0288
300,2022_08_23_13_36_57,1.9265,-0.2694
301,2022_08_23_13_36_59,5.5757,-0.3997
302,2022_08_23_13_37_01,3.2686,-0.1618
303,2022_08_23_13_37_03,1.8319,-0.1145
304,2022_08_23_13_37_04,2.1982,2.0797
305,2022_08_23_13_37_06,1.2547,1.6194
306,2022_08_23_13_37_08,1.5494,-1.0781
307,2022_08_23_13_37_10,0.3717,2.9827
308,2022_08_23_13_37_12,2.4977,-0.5033
309,2022_08_23_13_37_14,2.6777,-0.4579
310,2022_08_23_13_37_15,2.1319,-0.5032
311,2022_08_23_13_37_17,3.1457,-2.2189
312,2022_08_23_13_37_19,1.3058,-0.7082
313,2022_08_23_13_37_21,2.1287,0.4837
314,2022_08_23_13_37_22,2.2857,-1.6329
315,2022_08_23_13_37_24,3.0783,-0.9793
316,2022_08_23_13_37_26,0.8287,-4.2769
317,2022_08_23_13_37_28,2.7265,-2.3240
318,2022_08_23_13_37_30,1.2453,-1.7179
319,2022_08_23_13_37_32,3.2783,0.9797
320,2022_08_23_13_37_33,1.2826,-2.3568
321,2022_08_23_13_37_35,2.9522,-0.0493
322,2022_08_23_13_37_37,1.8547,-0.8653
323,2022_08_23_13_37_39,3.0313,0.0961
324,2022_08_23_13_37_41,1.8899,-0.3648
325,2022_08_23_13_37_42,3.7797,0.4610
326,2022_08_23_13_37_44,1.3121,-0.6476
327,2022_08_23_13_37_46,1.9182,1.3201
328,2022_08_23_13_37_48,2.5488,-1.7587
329,2022_08_23_13_37_49,0.0163,2.9568
330,2022_08_23_13_37_51,2.9375,0.1065
331,2022_08_23_13_37_54,2.7295,-0.0698
332,2022_08_23_13_37_56,2.7618,2.4819
333,2022_08_23_13_37_57,3.1464,0.9990
334,2022_08_23_13_37_59,1.7103,-0.2179
335,2022_08_23_13_38_01,1.7602,-1.4841
336,2022_08_23_13_38_03,3.1342,-1.9612
337,2022_08_23_13_38_05,3.0369,-1.9371
338,2022_08_23_13_38_07,0.8496,-0.6897
339,2022_08_23_13_38_09,3.0045,-0.5269
340,2022_08_23_13_38_11,2.4767,-1.1946
341,2022_08_23_13_38_12,1.6781,0.7534
342,2022_08_23_13_38_14,1.0823,0.1020
343,2022_08_23_13_38_16,3.5586,-0.3179
344,2022_08_23_13_38_18,1.9450,-1.0938
345,2022_08_23_13_38_20,2.0036,-2.0127
346,2022_08_23_13_38_22,0.1792,0.8348
347,2022_08_23_13_38_24,0.3553,0.5669
348,2022_08_23_13_38_25,1.4653,-0.5145
