epoch,time,generator_loss,discriminator_loss
118,2022_08_15_16_38_10,-0.6321, 0.2002
119,2022_08_15_16_40_55,-0.6988, 0.1055
120,2022_08_15_16_43_54,-0.4928,-0.0278
121,2022_08_15_16_46_38,-0.7794, 0.0493
122,2022_08_15_16_49_20,-0.7323,-0.1014
123,2022_08_15_16_52_10,-0.6969, 0.0570
124,2022_08_15_16_54_55,-0.6454, 0.0805
125,2022_08_15_16_57_42,-0.6916,-0.0152
126,2022_08_15_17_00_30,-0.7344, 0.1355
127,2022_08_15_17_03_17,-0.6556, 0.0164
128,2022_08_15_17_06_05,-0.7391, 0.0532
129,2022_08_15_17_08_44,-0.8041, 0.0214
130,2022_08_15_17_11_29,-0.8358, 0.1719
131,2022_08_15_17_14_10,-0.6723,-0.0013
132,2022_08_15_17_16_54,-0.7100,-0.0267
133,2022_08_15_17_19_41,-0.7150, 0.1524
134,2022_08_15_17_22_28,-0.8078, 0.0204
135,2022_08_15_17_25_11,-0.8197, 0.2746
136,2022_08_15_17_28_00,-0.9409, 0.0569
137,2022_08_15_17_30_49,-0.7712,-0.0983
138,2022_08_15_17_33_36,-0.8993,-0.0118
139,2022_08_15_17_36_26,-0.9830, 0.1074
140,2022_08_15_17_39_18,-0.9788, 0.0618
141,2022_08_15_17_41_58,-0.9237,-0.0187
142,2022_08_15_17_44_44,-0.9028, 0.0671
143,2022_08_15_17_47_35,-1.0164, 0.0083
144,2022_08_15_17_50_17,-1.0916,-0.0692
145,2022_08_15_17_52_55,-1.1642,-0.0206
146,2022_08_15_17_55_37,-1.1609, 0.0782
147,2022_08_15_17_58_25,-1.1292, 0.0467
148,2022_08_15_18_01_02,-1.1037, 0.2786
149,2022_08_15_18_03_46,-1.2075,-0.1858
150,2022_08_15_18_06_40,-1.1828, 0.0805
151,2022_08_15_18_09_21,-1.1642, 0.0297
152,2022_08_15_18_12_02,-1.1878, 0.0197
153,2022_08_15_18_14_51,-1.1250,-0.0602
154,2022_08_15_18_17_30,-1.3296,-0.2121
155,2022_08_15_18_20_15,-1.2270,-0.0597
156,2022_08_15_18_22_56,-1.4062,-0.0594
157,2022_08_15_18_25_54,-1.3406,-0.0687
158,2022_08_15_18_28_30,-1.5057,-0.2326
159,2022_08_15_18_31_17,-1.4021,-0.1041
160,2022_08_15_18_34_18,-1.3437, 0.1261
161,2022_08_15_18_37_02,-1.4683,-0.1083
162,2022_08_15_18_39_37,-1.5215,-0.0265
163,2022_08_15_18_42_18,-1.5750,-0.2184
164,2022_08_15_18_45_23,-1.4310, 0.0923
165,2022_08_15_18_48_06,-1.4502, 0.0061
166,2022_08_15_18_50_44,-1.6108,-0.1500
167,2022_08_15_18_53_35,-1.7689,-0.3450
168,2022_08_15_18_56_18,-1.5165,-0.0637
169,2022_08_15_18_59_01,-1.6920, 0.1246
170,2022_08_15_19_01_44,-1.7210,-0.0781
171,2022_08_15_19_04_29,-1.8767,-0.2051
172,2022_08_15_19_07_08,-1.6059, 0.1024
173,2022_08_15_19_09_55,-1.7831,-0.0317
174,2022_08_15_19_13_00,-1.7651, 0.0335
175,2022_08_15_19_15_42,-1.9761,-0.1365
176,2022_08_15_19_18_29,-1.8907,-0.2796
177,2022_08_15_19_21_13,-1.8951,-0.2031
178,2022_08_15_19_23_54,-2.0943, 0.1582
179,2022_08_15_19_26_38,-1.9330,-0.0688
180,2022_08_15_19_29_52,-2.0304, 0.0805
181,2022_08_15_19_32_37,-1.8962, 0.2149
182,2022_08_15_19_35_22,-1.8319, 0.1269
183,2022_08_15_19_38_02,-1.8553,-0.0445
184,2022_08_15_19_40_40,-1.8559, 0.2204
185,2022_08_15_19_43_25,-1.6688, 0.1361
186,2022_08_15_19_46_18,-1.9357, 0.1545
187,2022_08_15_19_49_11,-1.7985,-0.1935
188,2022_08_15_19_51_57,-1.8291,-0.1106
189,2022_08_15_19_54_40,-1.9259, 0.0055
190,2022_08_15_19_57_20,-1.9813, 0.1315
191,2022_08_15_20_00_01,-2.0133,-0.0601
192,2022_08_15_20_02_48,-1.9966, 0.1385
193,2022_08_15_20_06_00,-1.9443, 0.1261
194,2022_08_15_20_08_40,-1.9347, 0.0750
195,2022_08_15_20_11_24,-1.7092, 0.4378
196,2022_08_15_20_14_12,-1.7790,-0.0999
197,2022_08_15_20_16_59,-1.8722, 0.1890
198,2022_08_15_20_19_44,-1.6792, 0.2024
199,2022_08_15_20_22_52,-1.6621, 0.0679
200,2022_08_15_20_25_43,-1.8213,-0.0117
201,2022_08_15_20_28_26,-1.7941, 0.3081
202,2022_08_15_20_31_10,-1.6961,-0.0878
203,2022_08_15_20_33_55,-1.7716, 0.0691
204,2022_08_15_20_36_38,-1.9245, 0.0215
205,2022_08_15_20_39_33,-1.7844, 0.2286
206,2022_08_15_20_42_30,-1.7953,-0.2638
207,2022_08_15_20_45_13,-1.9107, 0.0331
208,2022_08_15_20_47_57,-1.8228, 0.0357
209,2022_08_15_20_50_43,-1.6847, 0.0170
210,2022_08_15_20_53_28,-1.7049, 0.2128
211,2022_08_15_20_56_08,-1.6960,-0.0277
212,2022_08_15_20_59_16,-1.9089, 0.0796
213,2022_08_15_21_01_58,-1.7184, 0.1663
214,2022_08_15_21_04_43,-1.8350, 0.0943
215,2022_08_15_21_07_30,-1.9038, 0.0611
216,2022_08_15_21_10_16,-1.6182, 0.1035
217,2022_08_15_21_13_03,-1.9732,-0.0616
218,2022_08_15_21_15_59,-1.8451,-0.0526
219,2022_08_15_21_18_35,-1.8115, 0.0052
220,2022_08_15_21_21_22,-1.9720,-0.0172
221,2022_08_15_21_23_59,-1.7838, 0.0110
222,2022_08_15_21_26_44,-1.7747,-0.2391
223,2022_08_15_21_29_26,-1.8948, 0.1879
224,2022_08_15_21_32_09,-1.9683, 0.1609
225,2022_08_15_21_35_00,-1.7692, 0.1831
226,2022_08_15_21_37_44,-1.8081, 0.2232
227,2022_08_15_21_40_28,-1.8351, 0.0112
228,2022_08_15_21_43_07,-1.9630, 0.0205
229,2022_08_15_21_45_53,-1.8624,-0.2121
230,2022_08_15_21_48_47,-1.8371, 0.0601
231,2022_08_15_21_51_47,-1.9422,-0.0396
232,2022_08_15_21_54_30,-1.9015, 0.1569
233,2022_08_15_21_57_17,-2.0405,-0.1037
234,2022_08_15_21_59_57,-1.8981, 0.0415
235,2022_08_15_22_02_37,-1.8392,-0.0430
236,2022_08_15_22_05_23,-1.7278,-0.0990
237,2022_08_15_22_08_18,-1.9757,-0.0614
238,2022_08_15_22_11_00,-1.6317, 0.1463
239,2022_08_15_22_13_51,-1.9643, 0.0615
240,2022_08_15_22_16_31,-1.8617, 0.0447
241,2022_08_15_22_19_11,-1.8718,-0.0453
242,2022_08_15_22_21_49,-2.0047, 0.1789
243,2022_08_15_22_24_56,-1.9665, 0.0088
244,2022_08_15_22_27_37,-2.0231,-0.0475
245,2022_08_15_22_30_29,-2.0667,-0.2125
246,2022_08_15_22_33_21,-2.1496, 0.1526
247,2022_08_15_22_36_25,-1.9220,-0.1786
248,2022_08_15_22_39_31,-2.0093, 0.0025
249,2022_08_15_22_42_36,-1.9733, 0.0522
250,2022_08_15_22_45_35,-1.9172, 0.1509
251,2022_08_15_22_48_57,-2.1247, 0.0308
252,2022_08_15_22_52_00,-1.9324,-0.1521
253,2022_08_15_22_55_00,-2.3145, 0.0271
254,2022_08_15_22_58_03,-1.9318,-0.0816
255,2022_08_15_23_01_07,-2.3138,-0.2569
256,2022_08_15_23_04_17,-2.1081, 0.1322
257,2022_08_15_23_07_22,-2.0729, 0.0322
258,2022_08_15_23_10_30,-2.0305,-0.2142
259,2022_08_15_23_13_38,-2.0680, 0.0815
260,2022_08_15_23_16_57,-1.9563,-0.1776
261,2022_08_15_23_19_58,-2.0663, 0.0560
262,2022_08_15_23_23_05,-2.0943,-0.0578
263,2022_08_15_23_26_12,-2.0234,-0.3054
264,2022_08_15_23_29_16,-2.0541,-0.2320
265,2022_08_15_23_32_22,-2.1690,-0.1165
266,2022_08_15_23_35_21,-2.1861,-0.0878
267,2022_08_15_23_38_27,-2.1358,-0.0400
268,2022_08_15_23_41_36,-2.1973,-0.0954
269,2022_08_15_23_44_36,-2.2937,-0.1012
270,2022_08_15_23_47_39,-2.2633, 0.1049
271,2022_08_15_23_50_40,-2.4248,-0.0415
272,2022_08_15_23_53_49,-2.3192,-0.3003
273,2022_08_15_23_56_52,-2.5166,-0.0693
274,2022_08_15_23_59_57,-2.3501, 0.0387
275,2022_08_16_00_03_04,-2.4425,-0.0859
276,2022_08_16_00_06_03,-2.3066, 0.0707
277,2022_08_16_00_09_08,-2.5380,-0.0492
278,2022_08_16_00_12_13,-2.5076, 0.0147
279,2022_08_16_00_15_12,-2.6615,-0.0655
280,2022_08_16_00_18_16,-2.4293, 0.2231
281,2022_08_16_00_21_16,-2.4250,-0.3379
282,2022_08_16_00_23_59,-2.2955,-0.0747
283,2022_08_16_00_27_01,-2.3904,-0.1084
284,2022_08_16_00_30_07,-2.4515, 0.1097
285,2022_08_16_00_32_56,-2.7679,-0.1572
286,2022_08_16_00_35_57,-2.6077,-0.0906
287,2022_08_16_00_39_00,-2.7522, 0.2660
288,2022_08_16_00_42_04,-2.6341,-0.2419
289,2022_08_16_00_45_08,-2.8170, 0.1195
290,2022_08_16_00_48_21,-2.6238, 0.1507
291,2022_08_16_00_50_59,-3.0266,-0.0341
292,2022_08_16_00_53_42,-2.6046, 0.3125
293,2022_08_16_00_56_27,-2.5257, 0.1875
294,2022_08_16_00_59_11,-2.6001, 0.0334
295,2022_08_16_01_01_55,-2.6688,-0.1391
296,2022_08_16_01_04_41,-2.7250,-0.0381
297,2022_08_16_01_07_56,-2.7395,-0.0009
298,2022_08_16_01_10_45,-2.6616, 0.0144
299,2022_08_16_01_13_35,-2.5539, 0.0932
300,2022_08_16_01_16_19,-2.5864, 0.1024
301,2022_08_16_01_19_05,-2.6897, 0.0471
302,2022_08_16_01_21_51,-2.3973, 0.0351
303,2022_08_16_01_24_38,-2.5646,-0.1329
304,2022_08_16_01_27_25,-2.6246,-0.1010
305,2022_08_16_01_30_08,-2.6091, 0.2875
306,2022_08_16_01_32_54,-2.4758,-0.0152
307,2022_08_16_01_35_36,-2.4063, 0.0179
308,2022_08_16_01_38_14,-2.5014, 0.0244
309,2022_08_16_01_41_06,-2.2284,-0.0093
310,2022_08_16_01_44_10,-2.3729,-0.0196
311,2022_08_16_01_46_54,-2.3003,-0.2179
312,2022_08_16_01_49_39,-2.2161,-0.0297
313,2022_08_16_01_52_27,-2.4177, 0.1432
314,2022_08_16_01_55_09,-2.3788, 0.2380
