epoch,time,generator_loss,discriminator_loss
120,2022_08_22_09_21_44,-1.5781,-0.6813
121,2022_08_22_09_21_46,-2.9989,1.3161
122,2022_08_22_09_21_48,-2.1357,-0.4592
123,2022_08_22_09_21_49,-3.8598,-0.6872
124,2022_08_22_09_21_51,-5.2284,-0.1064
125,2022_08_22_09_21_53,-4.8563,-1.4631
126,2022_08_22_09_21_54,-5.0336,-0.3796
127,2022_08_22_09_21_56,-3.6591,-0.9527
128,2022_08_22_09_21_58,-4.2012,1.2352
129,2022_08_22_09_21_59,-4.0274,2.4935
130,2022_08_22_09_22_01,-5.0246,0.6557
131,2022_08_22_09_22_03,-4.3999,-0.7265
132,2022_08_22_09_22_04,-4.0785,0.6022
133,2022_08_22_09_22_06,-4.7972,-2.5271
134,2022_08_22_09_22_08,-4.8170,-0.6996
135,2022_08_22_09_22_09,-3.0873,-0.6637
136,2022_08_22_09_22_11,-3.7490,1.2882
137,2022_08_22_09_22_13,-2.6573,-0.0936
138,2022_08_22_09_22_15,-1.5100,0.8403
139,2022_08_22_09_22_16,-2.8671,0.9196
140,2022_08_22_09_22_18,-0.8804,-0.2876
141,2022_08_22_09_22_20,-3.1882,-0.0698
142,2022_08_22_09_22_21,-0.8785,-0.3344
143,2022_08_22_09_22_23,0.7150,0.6012
144,2022_08_22_09_22_25,-1.2088,-0.3925
145,2022_08_22_09_22_26,0.2534,-1.4338
146,2022_08_22_09_22_28,-1.6250,-0.7713
147,2022_08_22_09_22_29,-1.7702,1.2291
148,2022_08_22_09_22_31,-1.8392,-0.0180
149,2022_08_22_09_22_33,-2.5175,1.9626
150,2022_08_22_09_22_34,-3.4845,-0.5784
151,2022_08_22_09_22_36,-3.3091,0.0154
152,2022_08_22_09_22_38,-1.4759,1.1857
153,2022_08_22_09_22_40,-2.4422,-0.8809
154,2022_08_22_09_22_41,-2.1173,-0.7833
155,2022_08_22_09_22_43,-2.6015,-0.4386
156,2022_08_22_09_22_45,-2.7380,0.3592
157,2022_08_22_09_22_46,-3.6350,0.0165
158,2022_08_22_09_22_48,-4.4223,0.2786
159,2022_08_22_09_22_50,-4.4533,1.0403
160,2022_08_22_09_22_51,-3.8062,0.0884
161,2022_08_22_09_22_53,-3.9858,0.5767
162,2022_08_22_09_22_55,-3.8161,-0.2361
163,2022_08_22_09_22_56,-3.8189,-1.4342
164,2022_08_22_09_22_58,-3.5034,1.5213
165,2022_08_22_09_23_00,-3.5408,0.9652
166,2022_08_22_09_23_01,-4.3003,-0.1655
167,2022_08_22_09_23_03,-3.1034,0.9882
168,2022_08_22_09_23_05,-4.6547,-0.5978
169,2022_08_22_09_23_07,-4.6260,-1.6746
170,2022_08_22_09_23_08,-4.8608,0.1293
171,2022_08_22_09_23_10,-3.2654,-1.1659
172,2022_08_22_09_23_12,-4.2058,0.8275
173,2022_08_22_09_23_13,-3.9199,-1.0643
174,2022_08_22_09_23_15,-3.4162,-1.4471
175,2022_08_22_09_23_17,-5.5565,1.0209
176,2022_08_22_09_23_19,-4.7591,0.9818
177,2022_08_22_09_23_20,-4.7771,0.1507
178,2022_08_22_09_23_22,-2.6787,-0.1982
179,2022_08_22_09_23_24,-3.3945,0.2523
180,2022_08_22_09_23_25,-2.6135,-2.5318
181,2022_08_22_09_23_27,-2.8981,-0.3128
182,2022_08_22_09_23_29,-3.5485,-1.0404
183,2022_08_22_09_23_30,-4.3353,-0.1634
184,2022_08_22_09_23_32,-2.8870,-1.6173
185,2022_08_22_09_23_34,-3.4864,-0.6445
186,2022_08_22_09_23_35,-1.6387,1.9641
187,2022_08_22_09_23_37,-3.1939,1.1010
188,2022_08_22_09_23_39,-1.4991,-0.5698
189,2022_08_22_09_23_41,-1.6756,-1.2548
190,2022_08_22_09_23_42,-1.9684,-2.4402
191,2022_08_22_09_23_44,-2.9276,-1.9449
192,2022_08_22_09_23_46,-2.8072,-1.0637
193,2022_08_22_09_23_47,-3.2728,-2.9722
194,2022_08_22_09_23_49,-2.1199,-4.6122
195,2022_08_22_09_23_51,-2.0536,-0.4227
196,2022_08_22_09_23_52,-2.4720,0.5733
197,2022_08_22_09_23_54,-1.8845,-1.2359
198,2022_08_22_09_23_56,-0.0995,-0.3161
