epoch,time,generator_loss,discriminator_loss
1,2022_08_15_14_30_02,7.1289,-0.1090
2,2022_08_15_14_30_05,9.5542,-0.3954
3,2022_08_15_14_30_07,6.6953,-0.8899
4,2022_08_15_14_30_09,6.7053,-1.7776
5,2022_08_15_14_30_10,6.9490,-2.8879
6,2022_08_15_14_30_13,7.0784,-4.0088
7,2022_08_15_14_30_15,6.6513,-5.6127
8,2022_08_15_14_30_17,6.8203,-6.4731
9,2022_08_15_14_30_19,6.0247,-5.7927
10,2022_08_15_14_30_25,6.2698,-5.3852
11,2022_08_15_14_30_27,6.3586,-5.1722
12,2022_08_15_14_30_29,6.1186,-5.2200
13,2022_08_15_14_30_30,5.3308,-5.8427
14,2022_08_15_14_30_32,5.8037,-2.2448
15,2022_08_15_14_30_34,4.8631,-3.9785
16,2022_08_15_14_30_36,6.1986,-3.0141
17,2022_08_15_14_30_38,-2.1233,-3.0680
18,2022_08_15_14_30_41,0.8553,-2.6177
19,2022_08_15_14_30_43,5.7136,-2.1810
20,2022_08_15_14_30_45,-0.7616,-2.1149
21,2022_08_15_14_30_48,2.9032,-1.8415
22,2022_08_15_14_30_50,7.7394,-0.8858
23,2022_08_15_14_30_52,6.1967,-1.8332
24,2022_08_15_14_30_55,-6.5021,-0.9362
25,2022_08_15_14_30_58,-21.9152,-0.6176
26,2022_08_15_14_31_00,-0.2329,-0.9791
27,2022_08_15_14_31_02,25.4924,-0.5068
28,2022_08_15_14_31_04,-5.2408,-1.4969
29,2022_08_15_14_31_07,30.8766,0.0550
30,2022_08_15_14_31_09,16.3031,-0.5121
31,2022_08_15_14_31_12,1.1051,-1.1459
32,2022_08_15_14_31_14,1.0807,-0.7720
33,2022_08_15_14_31_16,3.5030,-1.0536
34,2022_08_15_14_31_18,12.0703,-0.3536
35,2022_08_15_14_31_20,-2.5175,0.6254
36,2022_08_15_14_31_22,-0.5631,-0.1810
37,2022_08_15_14_31_24,-2.6167,0.2524
38,2022_08_15_14_31_26,5.9822,0.0950
39,2022_08_15_14_31_28,3.6768,-0.0322
40,2022_08_15_14_31_30,6.1501,0.3678
41,2022_08_15_14_31_33,-32.3629,0.7363
42,2022_08_15_14_31_35,-20.7878,1.1005
43,2022_08_15_14_31_37,4.2866,0.4680
44,2022_08_15_14_31_39,-4.4359,0.3737
45,2022_08_15_14_31_41,-2.1897,0.1853
46,2022_08_15_14_31_42,-3.4511,0.2361
47,2022_08_15_14_31_44,8.2509,0.7703
48,2022_08_15_14_31_47,3.9802,0.8709
49,2022_08_15_14_31_49,-0.9804,1.7588
50,2022_08_15_14_31_51,0.9901,0.2066
51,2022_08_15_14_31_53,1.2230,1.5184
52,2022_08_15_14_31_56,16.7469,-0.8532
53,2022_08_15_14_31_58,-9.5822,0.8675
54,2022_08_15_14_32_00,5.6657,-0.2638
55,2022_08_15_14_32_02,6.6401,0.7299
56,2022_08_15_14_32_05,5.0320,0.8415
57,2022_08_15_14_32_07,8.3494,0.6409
58,2022_08_15_14_32_10,42.0930,1.1471
59,2022_08_15_14_32_12,6.5960,0.3036
60,2022_08_15_14_32_14,5.4781,-0.5026
61,2022_08_15_14_32_17,4.6195,-0.5742
62,2022_08_15_14_32_19,2.5515,0.5185
63,2022_08_15_14_32_21,42.3552,0.3704
64,2022_08_15_14_32_23,9.0217,-0.4552
65,2022_08_15_14_32_26,4.6291,0.5189
66,2022_08_15_14_32_27,14.7679,0.3883
67,2022_08_15_14_32_29,30.7277,0.1048
68,2022_08_15_14_32_31,15.0319,-0.4420
69,2022_08_15_14_32_34,5.9875,0.5463
70,2022_08_15_14_32_36,-111.8599,0.4200
71,2022_08_15_14_32_38,13.2687,0.3012
72,2022_08_15_14_32_40,16.3452,-0.1637
73,2022_08_15_14_32_42,17.6303,0.0042
74,2022_08_15_14_32_43,18.5064,-1.0154
75,2022_08_15_14_32_45,10.3771,-0.1709
76,2022_08_15_14_32_47,13.0987,-0.5404
77,2022_08_15_14_32_49,13.6732,0.7173
78,2022_08_15_14_32_51,16.5969,-0.1042
79,2022_08_15_14_32_53,-25.8364,-0.0549
80,2022_08_15_14_32_55,12.8647,-0.6406
81,2022_08_15_14_32_58,13.5101,0.8848
82,2022_08_15_14_33_00,6.2141,0.1612
83,2022_08_15_14_33_02,11.3133,-0.2555
84,2022_08_15_14_33_04,4.7522,-0.7306
85,2022_08_15_14_33_07,2.3103,0.7573
86,2022_08_15_14_33_09,18.2830,0.3803
87,2022_08_15_14_33_11,11.7223,0.5232
88,2022_08_15_14_33_14,11.1065,-1.2053
89,2022_08_15_14_33_16,28.9494,-1.0781
90,2022_08_15_14_33_18,21.7182,0.0915
91,2022_08_15_14_33_20,37.4862,0.0396
92,2022_08_15_14_33_23,-133.5135,-0.4170
93,2022_08_15_14_33_25,10.9288,-0.6718
94,2022_08_15_14_33_27,10.2703,-0.3696
95,2022_08_15_14_33_30,8.3719,-1.5534
96,2022_08_15_14_33_32,16.4020,0.2710
97,2022_08_15_14_33_34,13.7065,0.3382
98,2022_08_15_14_33_37,19.9255,0.0045
99,2022_08_15_14_33_39,-99.3951,-1.5839
100,2022_08_15_14_33_41,12.5524,-1.6684
101,2022_08_15_14_33_43,22.0499,1.5256
102,2022_08_15_14_33_46,19.8310,-0.0589
103,2022_08_15_14_33_48,24.0167,-0.4224
104,2022_08_15_14_33_50,11.6108,-0.4112
105,2022_08_15_14_33_52,15.3482,-0.3134
106,2022_08_15_14_33_54,14.2006,-0.1595
107,2022_08_15_14_33_57,16.7732,-0.4504
108,2022_08_15_14_33_59,16.2206,0.1370
109,2022_08_15_14_34_01,45.7384,0.1509
110,2022_08_15_14_34_04,19.6973,0.0531
111,2022_08_15_14_34_06,18.4911,0.9000
112,2022_08_15_14_34_08,11.0566,0.2416
113,2022_08_15_14_34_10,14.7483,-1.8853
114,2022_08_15_14_34_14,16.8330,-0.3013
115,2022_08_15_14_34_16,11.1522,0.4294
116,2022_08_15_14_34_18,14.8416,-1.2391
117,2022_08_15_14_34_20,17.5127,0.7123
118,2022_08_15_14_34_23,12.3079,0.6085
119,2022_08_15_14_34_25,262.4425,-0.5674
120,2022_08_15_14_34_27,17.1209,0.3936
121,2022_08_15_14_34_29,12.8845,-0.8421
122,2022_08_15_14_34_32,10.9208,0.5075
123,2022_08_15_14_34_34,75.6485,0.0706
124,2022_08_15_14_34_36,21.6281,-0.6668
125,2022_08_15_14_34_39,18.0118,-0.0188
126,2022_08_15_14_34_41,17.7606,-1.1787
127,2022_08_15_14_34_43,16.6845,0.5230
128,2022_08_15_14_34_46,18.9940,0.6962
129,2022_08_15_14_34_49,-1.0693,0.7683
130,2022_08_15_14_34_51,19.4064,0.0715
131,2022_08_15_14_34_54,-1.8688,0.8680
132,2022_08_15_14_34_56,24.6624,0.3197
133,2022_08_15_14_34_58,13.6354,0.4191
134,2022_08_15_14_35_00,13.1208,-0.0889
135,2022_08_15_14_35_02,12.7100,0.3215
136,2022_08_15_14_35_04,14.1002,0.3150
137,2022_08_15_14_35_06,-14.0888,-0.1681
138,2022_08_15_14_35_08,11.3047,-0.3581
139,2022_08_15_14_35_10,7.6612,-0.9193
